ID,Claim Date,CarBrand,VehAge,DrivAge,Location,Claim Amt2,Age Criteria 
R5,22/08/23,BMW,2,52,JEDDAH,1942,45 to 59
D133,23/11/23,BMW,0,67,JEDDAH,1912,60+ Aged
F148,19/08/23,KIA,0,55,JEDDAH,1938,45 to 59
H149,05/06/23,KIA,0,55,JEDDAH,2087,45 to 59
B150,05/05/23,KIA,0,51,JEDDAH,2170,45 to 59
C151,24/09/23,KIA,0,55,JEDDAH,1911,45 to 59
R205,14/08/23,KIA,0,42,JEDDAH,1925,34 to 44
D206,24/07/23,KIA,0,42,JEDDAH,1969,34 to 44
F211,03/08/23,NISSAN,5,32,JEDDAH,2271,28 to 33
H212,01/08/23,NISSAN,5,32,JEDDAH,2054,28 to 33
B213,26/12/23,NISSAN,5,32,JEDDAH,2263,28 to 33
C233,13/11/23,TOYOTA,0,49,JEDDAH,1929,45 to 59
R234,21/02/23,TOYOTA,0,49,JEDDAH,2115,45 to 59
D571,09/09/23,BMW,0,27,JEDDAH,2179,23 to 27 
F573,27/10/23,BMW,0,27,JEDDAH,2037,23 to 27 
H574,05/04/23,BMW,0,27,JEDDAH,2145,23 to 27 
B990,28/10/23,KIA,3,39,JEDDAH,2006,34 to 44
C992,17/10/23,KIA,3,39,JEDDAH,2252,34 to 44
R1003,01/12/23,HYUNDAI,0,24,JEDDAH,1976,23 to 27 
D1005,20/10/23,HYUNDAI,0,24,JEDDAH,2080,23 to 27 
F1010,25/08/23,HYUNDAI,0,24,JEDDAH,2174,23 to 27 
H1200,01/04/23,HYUNDAI,1,46,JEDDAH,4000,45 to 59
B1232,14/08/23,NISSAN,1,36,JEDDAH,2193,34 to 44
C1551,17/09/23,HYUNDAI,0,39,JEDDAH,1937,34 to 44
R1552,09/05/23,HYUNDAI,0,39,JEDDAH,2238,34 to 44
D1554,17/04/23,HYUNDAI,0,39,JEDDAH,2028,34 to 44
F1876,20/10/23,TOYOTA,7,27,RYIADH,1944,23 to 27 
H2058,07/11/23,KIA,1,51,JEDDAH,2021,45 to 59
B2120,23/04/23,HYUNDAI,0,25,JEDDAH,2090,23 to 27 
C2123,03/05/23,HYUNDAI,0,25,JEDDAH,2237,23 to 27 
R2389,17/07/23,HYUNDAI,0,45,JEDDAH,1955,45 to 59
D2390,01/06/23,HYUNDAI,0,45,JEDDAH,2027,45 to 59
F2444,12/01/23,NISSAN,3,39,JEDDAH,2232,34 to 44
H2445,18/04/23,NISSAN,3,39,JEDDAH,2298,34 to 44
B2447,29/03/23,NISSAN,3,39,JEDDAH,2006,34 to 44
C2997,26/11/23,KIA,0,44,JEDDAH,1909,34 to 44
R2998,28/06/23,KIA,0,44,JEDDAH,100000,34 to 44
D3082,09/10/23,HYUNDAI,0,58,JEDDAH,1954,45 to 59
F3084,10/05/23,HYUNDAI,0,58,JEDDAH,2208,45 to 59
H3273,26/09/23,TOYOTA,0,53,JEDDAH,1947,45 to 59
B3526,27/10/23,BMW,0,50,JEDDAH,2170,45 to 59
C3527,30/03/23,BMW,0,50,JEDDAH,2006,45 to 59
R3529,15/01/23,HYUNDAI,0,48,JEDDAH,2180,45 to 59
D3530,06/07/23,HYUNDAI,0,50,JEDDAH,1903,45 to 59
F3531,06/11/23,HYUNDAI,0,50,JEDDAH,2159,45 to 59
H3533,19/12/23,HYUNDAI,0,50,JEDDAH,2206,45 to 59
B3534,26/10/23,HYUNDAI,0,50,JEDDAH,2283,45 to 59
C3605,13/06/23,KIA,0,45,JEDDAH,2028,45 to 59
R3607,07/02/23,KIA,0,45,JEDDAH,2298,45 to 59
D3704,26/04/23,NISSAN,5,26,RYIADH,2188,23 to 27 
F3999,27/12/23,NISSAN,0,38,JEDDAH,1955,34 to 44
H4001,13/07/23,NISSAN,0,38,JEDDAH,2102,34 to 44
B4454,19/09/23,BMW,0,53,JEDDAH,2290,45 to 59
C4685,04/07/23,BMW,9,23,RYIADH,2133,23 to 27 
R4686,30/08/23,BMW,9,23,RYIADH,1904,23 to 27 
D4740,24/04/23,HYUNDAI,4,31,RYIADH,1225,28 to 33
